Ticker,Name,RSI,Price
272550,삼양패키징,6.818181818181827,16110
000070,삼양홀딩스,23.4567901234568,71900
003720,삼영,27.513227513227505,4600
004380,삼익THK,18.452380952380963,8920
010960,삼호개발,25.000000000000014,3125
009470,삼화전기,20.502092050209214,38200
007540,샘표,13.63636363636364,44650
017390,서울가스,14.285714285714278,52400
004410,서울식품,21.42857142857143,158
008490,서흥,15.753424657534254,16560
000180,성창기업지주,15.151515151515156,1456
004360,세방,13.868613138686129,12080
004490,세방전지,13.793103448275858,71500
003030,세아제강지주,21.505376344086017,159300
013000,세우글로벌,29.729729729729726,1245
021820,세원정공,2.439024390243901,7060
204210,스타에스엠리츠,21.008403361344534,2450
011930,신성이엔지,7.46268656716417,1491
005390,신성통상,28.205128205128204,2240
004170,신세계,27.840909090909093,146700
